Estádio Cícero Pompeu de Toledo,São Paulo,São Paulo
Estádio Nabi Abi Chedid,Bragança Paulista,São Paulo
Estádio Distrital do Jardim Inamar,São Paulo,São Paulo
Estádio Urbano Caldeira,Santos,São Paulo
Allianz Parque,São Paulo,São Paulo
Estádio Bruno José Daniel,Santo André,São Paulo
Estádio Dr. Oswaldo Teixeira Duarte,São Paulo,São Paulo
Estádio Major José Levy Sobrinho,Limeira,São Paulo
Estádio Santa Cruz,Ribeirão Preto,São Paulo
Estádio Doutor Adhemar de Barros,Araraquara,São Paulo
Estádio Brinco de Ouro da Princesa,Campinas,São Paulo
Estádio Municipal Dr. Novelli Júnior,Itu,São Paulo
Neo Química Arena,São Paulo,São Paulo
Estádio Primeiro de Maio,São Bernardo do Campo,São Paulo
Estádio José Maria de Campos Maia,Mirassol,São Paulo
Estádio Municipal Walter Ribeiro,Sorocaba,São Paulo
Arena BRB Mané Garrincha,Brasília,Distrito Federal
Arena Barueri,Barueri,São Paulo
Estádio Parque Esportivo Montanha dos Vinhedos,Bento Gonçalves,Rio Grande do Sul
Estádio Bento da Silva Freitas,Pelotas,Rio Grande do Sul
Estádio do Vale,Novo Hamburgo,Rio Grande do Sul
Estádio 19 de Outubro,Ijuí,Rio Grande do Sul
Estádio José Pinheiro Borda,Porto Alegre,Rio Grande do Sul
Estádio Francisco Stédile,Caxias do Sul,Rio Grande do Sul
Estádio João Corrêa da Silveira,São Leopoldo,Rio Grande do Sul
Estádio Francisco Novelletto Neto,Porto Alegre,Rio Grande do Sul
Estádio Olímpico Colosso da Lagoa,Erechim,Rio Grande do Sul
Arena do Grêmio,Porto Alegre,Rio Grande do Sul
Estádio dos Eucaliptos,Santa Cruz do Sul,Rio Grande do Sul
Estádio Alfredo Jaconi,Caxias do Sul,Rio Grande do Sul
Estádio Municipal Castor de Cifuentes,Nova Lima,Minas Gerais
Estádio José Mammoud Abbas,Governador Valadares,Minas Gerais
Estádio Municipal Irmão Gino Maria Rossi,Pouso Alegre,Minas Gerais
Estádio Pedro Alves do Nascimento,Patrocínio,Minas Gerais
Estádio Raimundo Sampaio,Belo Horizonte,Minas Gerais
Estádio Joaquim Portugal,São João Del Rei,Minas Gerais
Estádio João Lamego Neto,Ipatinga,Minas Gerais
Estádio Soares de Azevedo,Muriaé,Minas Gerais
Arena do Jacaré,Sete Lagoas,Minas Gerais
Estádio Dr. Ronaldo Junqueira,Poços de Caldas,Minas Gerais
Estádio Governador Magalhães Pinto,Belo Horizonte,Minas Gerais
Estádio Kleber José de Andrade,Cariacica,Espírito Santo
