Paulista--> vans: 0 | kits: 9
Paulista--> vans: 1 | kits: 7
Paulista--> vans: 2 | kits: 6
Paulista--> vans: 3 | kits: 5
Paulista--> vans: 4 | kits: 4
Mineiro--> vans: 0 | kits: 7
Mineiro--> vans: 1 | kits: 5
Mineiro--> vans: 2 | kits: 4
Mineiro--> vans: 3 | kits: 3
Mineiro--> vans: 4 | kits: 2
Gaucho--> vans: 0 | kits: 7
Gaucho--> vans: 1 | kits: 6
Gaucho--> vans: 2 | kits: 5
Gaucho--> vans: 3 | kits: 4
Gaucho--> vans: 4 | kits: 2
ALL--> vans: 0 | kits: 21
ALL--> vans: 1 | kits: 19
ALL--> vans: 2 | kits: 17
ALL--> vans: 3 | kits: 16
ALL--> vans: 4 | kits: 15
